player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,ts_pct,gp_pred,pts_pred,reb_pred,ast_pred
Ja Morant,MEM,23.0,187.96,78.92500799999999,61,26.2,5.9,8.1,7.3,0.557,60.94,25.139999999999997,5.222999999999999,8.556999999999997
JaVale McGee,DAL,35.0,213.36,122.46984,42,4.4,2.5,0.3,-7.3,0.65,42.74,5.032,3.713,0.6759999999999995
Jabari Smith Jr.,HOU,20.0,210.82,99.79024,79,12.8,7.2,1.3,-11.3,0.514,61.42,13.033,6.507999999999999,1.6600000000000008
Javonte Green,CHI,29.0,195.58,92.98636,32,5.2,2.8,0.7,5.9,0.6459999999999999,47.75,5.339,2.64,0.9089999999999996
Jabari Walker,POR,20.0,200.66,90.7184,56,3.9,2.3,0.6,-9.0,0.496,41.82,5.693999999999999,2.385000000000001,1.0659999999999998
Jacob Gilyard,MEM,24.0,175.26,72.57472,1,3.0,4.0,7.0,-14.9,0.5,35.03,7.144,2.5380000000000003,2.984
Jaden Hardy,DAL,20.0,190.5,89.811216,48,8.8,1.9,1.4,-3.1,0.5710000000000001,56.82,8.178,2.245000000000001,1.779
Jaden Ivey,DET,21.0,193.04,88.45044,74,16.3,3.9,5.2,-13.0,0.528,61.67999999999999,16.881999999999994,4.317,5.201999999999999
Jaden McDaniels,MIN,22.0,205.74,83.91452,79,12.1,3.9,1.9,2.0,0.611,62.03,12.23,4.03,2.098
Jaden Springer,PHI,20.0,193.04,91.625584,16,2.6,0.9,0.5,-2.1,0.545,33.349999999999994,4.478,2.1000000000000005,0.8900000000000003
Jae Crowder,MIL,32.0,198.12,106.59412,18,6.9,3.8,1.5,-0.8,0.624,51.0,6.329000000000001,3.439,1.1880000000000002
Jae'Sean Tate,HOU,27.0,195.58,104.32616,31,9.1,3.8,2.7,-7.3,0.546,61.42,9.161000000000001,4.12,2.8960000000000004
Jake LaRavia,MEM,21.0,200.66,106.59412,35,3.0,1.8,0.6,-7.6,0.531,37.529999999999994,4.619,2.131000000000001,0.9209999999999985
Jakob Poeltl,TOR,27.0,215.9,111.13004,72,12.5,9.1,2.7,-3.1,0.635,66.2,12.642000000000001,9.048000000000004,2.283
Jack White,DEN,25.0,200.66,102.0582,17,1.2,1.0,0.2,-14.1,0.517,33.82999999999999,3.3000000000000025,2.3959999999999995,0.6429999999999987
Isaiah Roby,NYK,25.0,203.2,104.32616,42,4.1,2.6,0.9,-10.4,0.497,36.71999999999999,4.803999999999997,2.811,1.093
Jaxson Hayes,NOP,23.0,213.36,99.79024,47,5.0,2.8,0.7,-5.4,0.605,47.58,5.841,3.334,0.9420000000000004
Jay Scrubb,ORL,22.0,195.58,99.79024,2,6.5,3.0,0.5,-28.5,0.825,39.06,6.755000000000001,2.9330000000000007,1.0629999999999997
Jonas Valanciunas,NOP,31.0,210.82,120.20188,79,14.1,10.2,1.8,-0.7,0.61,61.82,13.892,9.246000000000004,1.9929999999999999
Jonathan Isaac,ORL,25.0,208.28,104.32616,11,5.0,4.0,0.5,-5.8,0.483,26.310000000000002,4.494,2.774,0.6539999999999992
Jonathan Kuminga,GSW,20.0,200.66,102.0582,67,9.9,3.4,1.9,-1.4,0.597,59.989999999999995,9.097000000000001,3.566,1.8559999999999999
Jordan Clarkson,UTA,31.0,195.58,87.996848,61,20.8,4.0,4.4,0.8,0.5579999999999999,69.81000000000002,21.961,4.519,4.793000000000001
Jordan Goodwin,WAS,24.0,190.5,90.7184,62,6.6,3.3,2.7,-4.5,0.531,57.53,7.893,3.286,2.7790000000000004
Jordan Hall,SAS,21.0,200.66,97.52228,9,3.1,1.3,1.2,-13.1,0.4379999999999999,33.74999999999999,6.089,2.279,1.447
Jordan McLaughlin,MIN,27.0,182.88,83.91452,43,3.7,1.4,3.4,5.8,0.526,38.47,4.847999999999999,1.6879999999999997,2.7340000000000004
Jordan Nwora,IND,24.0,205.74,102.0582,62,8.7,3.7,1.4,-10.2,0.561,59.31,8.774000000000001,3.828,1.4240000000000006
Jordan Poole,GSW,24.0,193.04,87.996848,82,20.4,2.7,4.5,-0.8,0.573,71.00999999999999,20.086999999999996,3.693,4.83
Jordan Schakel,WAS,25.0,198.12,90.7184,2,1.5,0.0,0.5,50.0,0.75,26.330000000000023,5.558,2.382,1.4889999999999994
